alpha_deg,cl
-5.0,0.0556348153675039
-4.0,0.08092971845071396
-3.0,0.106199969557699
-2.0,0.1314378711251757
-1.0,0.15663573544384002
0.0,0.1817858870001244
1.0,0.20688066481422746
2.0,0.23191242477373036
3.0,0.25687354196206375
4.0,0.28175641298112286
5.0,0.3065534582673536
6.0,0.33125712440054433
7.0,0.3558598864046858
8.0,0.38035425004013484
9.0,0.40473275408644527
10.0,0.4289879726151289
11.0,0.45311251725165325
12.0,0.47709903942602555
13.0,0.5009402326112236
14.0,0.5246288345488521
15.0,0.5481576294612845
